MOVIE NAME,CAST,MENTIONS,TOTAL CENTRALITY,COUNT,AVERAGE CENTRALITY
Aan Milo Sajna,woman,2,222.5,12,18.54166667
Aan Milo Sajna,savitri,11,868.1666667,131,6.627226463
Aan Milo Sajna,deepali,4,0,89,0
Abhinetri,anjana,9,319,79,4.037974684
Aag Aur Shola,usha,6,48,54,0.888888889
Aakhree Raasta,mary,0,256,136,1.882352941
Aap Ke Saath,deepa,3,60,17,3.529411765
Aap Ke Saath,ganga,5,280.5,36,7.791666667
Chetna,seema,23,227.5,170,1.338235294
Chetna,dhawan,1,120.8333333,31,3.897849462
Adhikar,mother,0,242.3333333,33,7.343434343
Adhikar,jyoti,0,52.75,86,0.613372093
Aisa Pyaar Kahan,saritha,2,0,9,0
Aisa Pyaar Kahan,pooja,5,41,36,1.138888889
Amrit (film),nurse,1,0,4,0
Amrit (film),sunita,4,408.3333333,54,7.561728395
Amrit (film),kamla,18,1007.666667,165,6.107070707
Angaaray,mother,2,0,22,0
Angaaray,hirabai,1,20,7,2.857142857
Angaaray,aarti,12,431,118,3.652542373
Dharti,daughter,1,16,5,3.2
Ankush,anita,4,164,26,6.307692308
Anokha Rishta,dr.,0,0,0,0
Anokha Rishta,beena,1,0,30,0
Anokha Rishta,woman,1,20,5,4
Anokha Rishta,padma,14,415,222,1.869369369
Anokha Rishta,mother,21,42,446,0.094170404
Anokha Rishta,superior,12,4550.694034,375,12.13518409
Anokha Rishta,alex,5,77,101,0.762376238
Anokha Rishta,sister,2,194.1166667,68,2.854656863
Anubhav,gauri,0,803.2333333,189,4.249911817
Asli Naqli,laxmi,8,0,64,0
Asli Naqli,seth,4,0,24,0
Geet,janki,7,220.1666667,56,3.931547619
Geet,kamla,25,203,223,0.910313901
Geet,sister,3,64.5,23,2.804347826
Baat Ban Jaye,aman,1,65,27,2.407407407
Baat Ban Jaye,nisha,1,133,15,8.866666667
Bhagwaan Dada,woman,2,305.4666667,41,7.450406504
Bhagwaan Dada,geeta,8,232.3333333,90,2.581481481
Bhagwaan Dada,mother,1,180,27,6.666666667
Bhagwaan Dada,bijli,25,2040.533333,297,6.870482604
Bhagwaan Dada,sister,4,556.75,47,11.84574468
Chameli Ki Shaadi,chameli,2,638.847619,49,13.03770651
Dharm Adhikari,sudha,4,36,23,1.565217391
Dharm Adhikari,savitri,4,91,36,2.527777778
Dharm Adhikari,daughter,3,321.6666667,46,6.992753623
Dilwaala,kamla,2,68.5,10,6.85
Dosti Dushmani,lata,5,68,51,1.333333333
Dosti Dushmani,rekha,4,244,44,5.545454545
Himmat,malti,3,0,19,0
Ek Chadar Maili Si,mother,1,46.4,15,3.093333333
Ek Chadar Maili Si,woman,1,96,16,6
Ek Chadar Maili Si,girl,3,327.5,41,7.987804878
Humjoli,ranibala,3,60,27,2.222222222
Humjoli,shyama,3,107.5,34,3.161764706
Genesis,woman,0,153.5,32,4.796875
Ghar Sansar,mother,1,8,2,4
Ghar Sansar,radhika,2,64,40,1.6
Ghar Sansar,daughter,3,1029.066667,71,14.49389671
Ishq Par Zor Nahin,sushma,10,184.5,110,1.677272727
Ilzaam,aarti,8,143.35,108,1.327314815
Ilzaam,sister,1,784.3333333,46,17.05072464
Jawab,sister,3,42,22,1.909090909
Jaal,woman,0,444,25,17.76
Jeevan Mrityu,deepa,5,27,53,0.509433962
Janbaaz,reshma,16,417.5,96,4.348958333
Johny Mera Naam,heera,1,0,10,0
Khilona,chand,10,319,119,2.680672269
Khilona,radha,11,118.5,78,1.519230769
Maa Aur Mamta,mary,5,140.5,53,2.650943396
Maa Aur Mamta,girl,1,84,21,4
Maa Aur Mamta,maya,14,541.3333333,139,3.894484412
Maa Aur Mamta,mrs.,0,0,0,0
Maa Aur Mamta,victor,3,42,33,1.272727273
Maa Aur Mamta,daughter,2,167.3333333,26,6.435897436
Man Ki Aankhen,mother,3,105.1333333,24,4.380555556
Man Ki Aankhen,geeta,2,231.7,38,6.097368421
Krishna-Krishna,mother,1,0,15,0
Krishna-Krishna,daughter,1,72,10,7.2
Love 86,laxmidevi,2,261,27,9.666666667
Love 86,esha,2,0,27,0
Love 86,girl,0,0,0,0
Love 86,leena,2,32,31,1.032258065
Love and God,mother,1,28,10,2.8
Love and God,laila,23,565,214,2.640186916
Mera Naam Joker,actress,1,14,3,4.666666667
Mera Naam Joker,mother,2,118.3333333,26,4.551282051
Mera Naam Joker,mera,4,0,42,0
Mera Naam Joker,mary,9,69,93,0.741935484
Mere Humsafar,woman,1,120,7,17.14285714
Mere Humsafar,tarna,12,349,61,5.721311475
Main Balwan,meera,5,58,38,1.526315789
Main Balwan,natasha,1,48,8,6
Main Balwan,geeta,2,9,27,0.333333333
Mazloom,mother,1,4.5,8,0.5625
Mazloom,purnima,8,0,78,0
Pagla Kahin Ka,helen,1,0,21,0
Pagla Kahin Ka,jenny,2,63.5,17,3.735294118
Naache Mayuri,mayuri,1,0,31,0
