MOVIE NAME,YEAR,MALE SINGER COUNT,FEMALE SINGER COUNT,MALE SONG COUNT,FEMALE SONG COUNT
Raabta (film)_2017,2017,5,2,8,2
Luv U Soniyo_2013,2013,4,1,6,1
Sahibaan_1993,1993,2,2,3,6
Baap Numbri Beta Dus Numbri_1990,1990,1,2,1,4
Jyoti Bane Jwala_1980,1980,3,3,4,5
Main Sunder Hoon_1971,1971,5,3,10,13
Shuddh Desi Romance_2013,2013,2,3,2,3
Ready (2011 film)_2011,2011,3,1,6,4
Platform (1993 film)_1993,1993,3,3,4,5
Hum Bhi Insaan Hain (1989 film)_1989,1989,1,4,1,4
Hum To Mohabbat Karega_2000,2000,6,2,11,6
Kal Ki Awaz_1992,1992,1,3,7,9
Thakshak_1999,1999,1,0,3,0
Sadiyaan_2010,2010,3,3,4,4
Haathon Ki Lakeeren_1986,1986,1,1,1,1
Muqaddar Ka Faisla_1987,1987,1,1,4,3
Dulha Bikta Hai_1982,1982,2,3,3,6
Dawat_1974,1974,1,2,1,4
Julie (1975 film)_1975,1975,1,4,2,5
Humshakals_2014,2014,2,3,2,6
Zamaane Ko Dikhana Hai_1981,1981,2,1,3,2
Veerta_1991,1991,2,3,4,6
Aaj Ka Samson_1991,1991,1,6,1,9
Nasbandi_1978,1978,2,3,3,6
Guest Iin London_2017,2017,0,0,0,0
Masoom (1983 film)_1983,1983,3,3,3,3
Saudagar (1991 film)_1991,1991,4,3,6,6
Kites (film)_2010,2010,7,1,16,2
Jaanam_1992,1992,1,2,1,8
Maan Gaye Ustaad_1981,1981,2,2,5,5
Kushti (film)_2010,2010,2,2,2,2
Paras (film)_1971,1971,4,3,5,9
Patanga_1971,1971,1,3,5,3
Pink (2016 film)_2016,2016,1,1,2,1
Suhaag (1994 film)_1994,1994,3,3,8,6
Mastizaade_2016,2016,2,2,2,2
Rangila Ratan_1976,1976,3,2,5,2
Tubelight (film)_2017,2017,10,0,11,0
Gundaraj_1995,1995,1,2,5,3
Baazi (1995 film)_1995,1995,1,2,5,6
Action Replayy_2010,2010,5,5,6,9
Sone Pe Suhaaga_1988,1988,2,2,5,6
Hate Story_2012,2012,1,1,1,2
Panaah (film)_1992,1992,2,2,5,6
Hafta Vasuli_1998,1998,0,0,0,0
Fever (2016 film)_2016,2016,3,3,5,6
Tere Mere Phere_2011,2011,2,0,2,0
Break Ke Baad_2010,2010,3,3,7,5
Naami Chor_1977,1977,4,2,6,6
Ab Ayega Mazaa_1984,1984,3,3,4,4
Mahaan_1983,1983,3,2,7,3
Ek Chadar Maili Si_1986,1986,0,1,0,3
Khamoshi: The Musical_1996,1996,4,3,7,7
Damini  Lightning_1993,1993,1,2,4,5
Kalyug Aur Ramayan_1987,1987,2,3,4,4
Dulhan (1975 film)_1974,1974,1,1,1,4
Anokha Rishta_1986,1986,0,2,0,4
Dream Girl (1977 film)_1977,1977,1,2,2,4
Ghar Jamai (1992 film)_1992,1992,2,3,2,6
Mumbai Mirror (film)_2013,2013,4,3,4,3
Tujhe Nahin Chhodunga_1989,1989,1,4,2,10
Toofan Aur Bijlee_1975,1975,2,1,3,4
Dharam Karam_1975,1975,4,3,15,8
Loot (2011 film)_2011,2011,3,2,4,2
Anokha Milan_1972,1972,2,0,2,0
Bhookamp_1993,1993,3,3,5,5
Sarfarosh (1999 film)_1999,1999,4,2,4,4
Kaun Kare Qurbaani_1991,1991,2,2,8,9
Nafrat_1987,1987,1,1,1,2
Izzatdaar_1990,1990,1,3,1,13
Qila (film)_1998,1998,3,4,8,8
Rocky (1981 film)_1981,1981,1,2,5,4
Teri Meherbaniyan_1985,1985,0,3,0,4
Karma (1986 film)_1986,1986,4,2,6,5
Jai Kishen_1994,1994,2,2,5,2
Dilbar (1994 film)_1994,1994,2,2,4,5
Aazmayish_1995,1995,3,1,6,2
Ghamandee_1981,1981,1,1,1,6
Raaton Ka Raja_1970,1970,2,3,5,5
Kaafila_2007,2007,2,1,5,1
Jawaani_1984,1984,0,3,0,15
Rajaji (film)_1999,1999,2,4,5,5
PK (film)_2014,2014,3,1,4,3
Kali Ganga_1990,1990,1,2,1,2
Inaam Dus Hazaar_1987,1987,1,2,3,4
Naiyya_1979,1979,3,1,6,2
Janbaaz_1986,1986,3,3,5,6
Sachaa Jhutha (1970 film)_1970,1970,3,2,8,2
Judwaa_1997,1997,3,2,6,3
Chal Pichchur Banate Hain_2012,2012,4,2,7,3
Waqt Ka Badshah_1992,1992,1,0,2,0
War Chhod Na Yaar_2013,2013,11,2,13,4
Sarphira_1992,1992,1,2,1,5
Chandi Sona_1977,1977,5,1,10,8
Shandaar_1990,1990,1,3,1,7
Ram Tere Kitne Nam_1985,1985,1,2,2,3
Santa Banta Pvt Ltd_2016,2016,3,0,7,0
Barood (1976 film)_1976,1976,1,1,4,2
Saala Khadoos_2016,2016,2,0,2,0
Oh Darling! Yeh Hai India_1995,1995,6,1,11,1
Maazii (2013 film)_2013,2013,3,2,3,2
Karan Arjun_1995,1995,3,3,6,7
Humlaa_1992,1992,2,3,2,5
Anmol Sitaare_1982,1982,1,6,2,19
Boxer (1984 film)_1984,1984,2,2,5,5
Rang Rasiya_2014,2014,3,1,3,2
United Six (film)_2011,2011,0,0,0,0
Bin Phere Hum Tere_1979,1979,2,2,3,6
Khoon Ki Keemat_1974,1974,1,1,2,8
Mafia (1996 film)_1996,1996,2,3,5,5
Andar Baahar_1984,1984,3,1,5,3
Saanch Ko Aanch Nahin_1979,1979,2,1,5,4
Mr. and Mrs. Khiladi_1997,1997,5,4,7,5
Hatim Tai (1990 film)_1990,1990,1,4,1,7
Kabeela_1976,1976,3,2,5,4
Khilona (1970 film)_1970,1970,3,2,5,3
Tutak Tutak Tutiya_2016,2016,1,2,1,2
Badi Bahen_1993,1993,1,3,1,8
Garajna_1991,1991,2,5,2,6
Daku Aur Mahatma_1977,1977,2,3,2,12
Heroine (2012 film)_2012,2012,2,3,2,3
Deewaangee_1976,1976,1,3,4,5
Nidaan_2000,2000,2,1,3,6
Raadha Aur Seeta_1979,1979,3,2,4,13
Insaf Ki Pukar_1987,1987,1,2,3,4
Kapoor & Sons_2016,2016,3,2,5,2
Bond 303_1985,1985,3,2,5,3
Waaris (1988 film)_1988,1988,3,2,5,6
Devi (1970 film)_1970,1970,1,1,1,1
Taqdeerwala_1995,1995,4,2,8,7
Charitraheen_1974,1974,1,2,1,4
Mr. Singh / Mrs. Mehta_2010,2010,3,3,4,5
Players (film)_2012,2012,6,5,10,7
Damaad_1978,1978,1,1,3,5
Mardaani_2014,2014,0,1,0,1
Sahebzaade_1992,1992,1,3,1,7
Dum Maaro Dum (film)_2011,2011,6,2,7,4
Anjaane (2000 film)_2000,2000,5,2,6,4
Dharti_1970,1970,1,2,4,5
Uttar Dakshin_1987,1987,0,2,0,4
Vishwasghaat_1996,1996,1,2,3,6
Swami Dada_1982,1982,2,2,6,5
Hey Bro_2015,2015,6,2,6,2
Tees Maar Khan_2010,2010,6,3,10,7
Hungama (1971 film)_1971,1971,4,2,6,9
Do Musafir_1978,1978,0,1,0,2
Prem Yog_1994,1994,4,2,10,8
Honeymoon (1973 film)_1973,1973,2,1,7,4
Gunah Aur Kanoon_1970,1970,0,1,0,6
5 Rifles_1974,1974,1,1,8,2
Haiwan_1977,1977,6,2,10,4
Alag Alag_1985,1985,1,1,10,7
Mastan Dada_1977,1977,2,2,3,5
Tadipaar_1993,1993,2,2,6,6
Ijaazat_1987,1987,0,1,0,1
Badi Maa_1974,1974,2,3,3,9
Hisaab Khoon Ka_1989,1989,0,3,0,5
Nastik (1983 film)_1983,1983,2,4,3,5
Jodidar_1997,1997,5,3,5,3
Joroo Ka Ghulam_1972,1972,1,2,4,3
Umbartha_1982,1982,1,1,1,3
Hawaizaada_2015,2015,2,0,10,0
Aanchal (1980 film)_1980,1980,1,3,6,8
Faisla_1988,1988,2,1,2,3
Jagir (1984 film)_1984,1984,3,3,6,5
Ram Kasam_1978,1978,3,2,3,5
Ram Jaane (1995 film)_1995,1995,3,2,8,3
Vidhaata_1982,1982,3,8,3,9
Ek Hi Raasta (1977 film)_1977,1977,2,4,3,5
Mehandi Ban Gai Khoon_1991,1991,1,1,2,2
Khilaaf_1991,1991,3,2,4,3
Lakhon Ki Baat_1984,1984,0,3,0,9
Saat Rang Ke Sapne_1997,1997,4,2,7,4
Beqabu_1996,1996,3,1,7,5
Kranti Kshetra_1994,1994,5,3,6,4
Pyaar Diwana_1972,1972,2,2,4,5
Rafoo Chakkar_1975,1975,2,2,2,4
Jaag Utha Insan_1984,1984,2,2,5,7
Sautela_1999,1999,2,2,6,8
Don (1978 film)_1978,1978,1,2,4,2
Aa Dekhen Zara_2009,2009,3,2,4,5
Heera Panna_1973,1973,1,2,4,3
Charandas_1977,1977,4,1,4,3
Maqsad_1984,1984,1,2,5,4
Will You Marry Me? (film)_2012,2012,7,2,10,3
Prem Qaidi_1991,1991,2,2,6,6
Sikandar (2009 film)_2009,2009,3,3,3,3
Balidaan (1985 film)_1985,1985,1,2,3,5
Hum Sab Chor Hain (1973 film)_1973,1973,1,5,1,12
Sultana Daku_1982,1982,1,1,2,8
Once Upon a Time in Mumbaai_2010,2010,3,2,9,3
Dana Paani_1989,1989,1,1,3,4
Ghazab_1982,1982,1,2,2,5
Hulchul (1971 film)_1971,1971,0,1,0,1
Purani Jeans_2014,2014,3,2,5,2
Andha Kanoon_1983,1983,2,1,6,4
Chhalia_1973,1973,3,1,8,5
Laat Saab_1992,1992,2,2,6,6
Yash (1996 film)_1996,1996,4,2,6,2
Ek Aur Sikander_1986,1986,2,3,4,5
Karz Chukana Hai_1991,1991,4,3,5,6
Paa (film)_2009,2009,2,3,2,4
Pran Jaye Par Vachan Na Jaye_1974,1974,0,1,0,1
Namak Haraam (1973 film)_1973,1973,1,2,4,2
Aisi Bhi Kya Jaldi Hai_1996,1996,2,1,5,1
Abhimaan (1973 film)_1973,1973,0,0,0,0
Meera Ka Mohan_1992,1992,5,1,12,7
Sau Din Saas Ke_1980,1980,0,1,0,3
Once Upon Ay Time In Mumbai Dobaara!_2013,2013,3,1,4,1
Ramgarh Ke Sholay_1991,1991,2,2,3,2
Bumm Bumm Bole_2010,2010,2,2,3,2
Phool Bane Patthar_1998,1998,2,1,6,4
Insaaf (1997 film)_1997,1997,2,2,2,2
House No. 13_1991,1991,0,2,0,3
Hatyara_1977,1977,2,3,4,5
Fiffty Fiffty_1981,1981,1,2,3,4
Saudagar (1973 film)_1973,1973,0,1,0,4
Hamare Tumhare_1979,1979,1,3,7,4
Chalo Dilli_2011,2011,4,2,5,3
Impatient Vivek_2011,2011,1,3,1,3
Peepli Live_2010,2010,3,0,4,0
Aap Ki Kasam_1974,1974,1,1,5,5
Main Khiladi Tu Anari_1994,1994,5,2,9,5
Madhosh (1974 film)_1974,1974,2,1,4,9
Aatish (film)_1979,1979,2,3,4,4
Mahaanta_1997,1997,0,3,0,8
Hanuman Da' Damdaar_2017,2017,3,1,3,1
Hip Hip Hurray (film)_1984,1984,3,2,6,3
Joshila_1973,1973,1,2,3,7
Geet (1992 film)_1992,1992,1,4,4,14
Taqdeer Ka Tamasha_1990,1990,1,2,1,4
Yuhi Kabhi_1994,1994,2,1,5,2
Laadla (film)_1994,1994,2,2,6,5
Shreemaan Aashique_1993,1993,6,4,8,5
Haathi Ke Daant_1973,1973,0,2,0,4
Bheja Fry 2_2011,2011,1,1,1,1
Amrit (film)_1986,1986,2,2,2,3
Mera Dharam_1986,1986,1,2,1,5
Rudaali (1993 film)_1993,1993,1,2,3,4
Jai Dwarkadheesh_1977,1977,1,3,4,10
Aag Laga Do Sawan Ko_1991,1991,0,1,0,4
Dishkiyaoon_2014,2014,1,0,1,0
Charnon Ki Saugandh_1988,1988,1,1,6,4
Ganga Meri Maa_1983,1983,2,1,3,4
Phir Wohi Raat_1980,1980,2,2,4,4
Yeh Aag Kab Bujhegi_1991,1991,1,2,1,3
Maa (1992 Hindi film)_1991,1991,2,2,3,2
Suhaag (1979 film)_1979,1979,3,3,6,7
Zulm Ko Jala Doonga_1988,1988,0,2,0,6
Shareef Budmaash_1973,1973,1,2,3,3
Rangoon (2017 film)_2017,2017,4,3,6,8
Dangal (film)_2016,2016,7,2,7,2
